Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.53.09	-17.438112	14.666003	Yas	1032	1	701	4G	-92	-11	0.0	-	-77	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1032-1-1850-132	I
2025.07.18_22.53.11	-17.438112	14.666003	Yas	1059	1	701	4G	-93	-12	0.0	-	-77	HANDOVER_DATA_4G4G	608-02-701-1032-1-1850-132:608-02-701-1059-1-1850-459	I
2025.07.18_22.53.13	-17.438112	14.666003	Yas	1032	11	701	4G	-76	-10	0.0	-	-65	CELL_RESELECTION_4G4G	608-02-701-1059-1-1850-459:608-02-701-1032-11-6400-450	I
2025.07.18_22.53.15	-17.438112	14.666003	Yas	1059	3	701	4G	-86	-12	0.0	-	-73	CELL_RESELECTION_4G4G	608-02-701-1032-11-6400-450:608-02-701-1059-3-1850-475	I
2025.07.18_22.53.15	-17.438112	14.666003	Yas	1059	3	701	4G	-86	-12	0.0	-	-73	CALL_START	608-02-701-1059-3 VOICE SEQUENCE:19	I
2025.07.18_22.53.17	-17.438112	14.666003	Yas	0	0	0	3G	-113	-7	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1059-3-1850-475:608-02-0-0-0-0-0	VD
2025.07.18_22.53.17	-17.438112	14.666003	Yas	0	0	0	3G	-113	-7	-	-	-	CSFB_4G3G	1855	VD
2025.07.18_22.53.23	-17.438112	14.666003	Yas	5	10321	43	2G	-75	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-10321-3060-360	VD
2025.07.18_22.53.47	-17.438027	14.666073	Yas	5	16482	43	3G	-57	-4	-	-	-	IRAT_HANDOVER_VOICE_2G3G	608-02-43-5-10321-3060-360:608-02-43-5-16482-3060-499	V
2025.07.18_22.54.00	-17.438008	14.666167	Yas	5	16482	43	3G	-67	-6	-	-	-	CALL_END	608-02-43-5-16482 VOICE SEQUENCE:19	VD
2025.07.18_22.54.26	-17.43779	14.666288	Yas	5	16482	43	3G	-79	-7	-	-	-	CALL_END	608-02-43-5-16482	I
